MO,DY,HR,T2M,ALLSKY_SFC_SW_DWN
2,14,14,29.18,671.08
2,14,15,28.48,452.48
2,14,16,27.68,242.98
2,14,17,26.66,59
2,14,18,25.87,0
2,14,19,25.58,0
2,14,20,25.54,0
2,14,21,25.54,0
2,14,22,25.51,0
2,14,23,25.47,0
2,15,0,25.4,0
2,15,1,25.3,0
2,15,2,25.13,0
2,15,3,25.04,0
2,15,4,24.97,0
2,15,5,24.93,0
2,15,6,25.08,25.69
2,15,7,26.08,214.91
2,15,8,27.45,457.2
2,15,9,28.55,668.37
2,15,10,29.32,828.77
2,15,11,29.8,907.2
2,15,12,30,901.13
2,15,13,29.84,844.77
2,15,14,29.44,716.3
2,15,15,28.88,504.92
2,15,16,28.16,283.98
2,15,17,27.23,73.93
2,15,18,26.49,0
2,15,19,26.23,0
2,15,20,26.1,0
2,15,21,25.98,0
2,15,22,25.87,0
2,15,23,25.78,0
2,16,0,25.68,0
2,16,1,25.56,0
2,16,2,25.42,0
2,16,3,25.35,0
2,16,4,25.17,0
2,16,5,25.05,0
2,16,6,25.17,26.52
2,16,7,26.34,221.6
2,16,8,27.87,465.82
2,16,9,28.95,675.55
2,16,10,29.63,830.76
2,16,11,30.01,874.47
2,16,12,30.14,827.19
2,16,13,30.03,828.31
2,16,14,29.65,723.49
2,16,15,29.07,499.97
2,16,16,28.33,280.66
2,16,17,27.37,74.65
2,16,18,26.56,0
2,16,19,26.34,0
2,16,20,26.3,0
2,16,21,26.31,0
2,16,22,26.12,0
2,16,23,26.1,0
2,17,0,25.82,0
2,17,1,25.52,0
2,17,2,25.3,0
2,17,3,25.11,0
2,17,4,24.99,0
2,17,5,24.94,0
2,17,6,25.14,25.96
2,17,7,26.1,216.8
2,17,8,27.44,460.2
2,17,9,28.62,682.5
2,17,10,29.55,849.27
2,17,11,30.13,941.2
2,17,12,30.4,925.73
2,17,13,30.38,887.56
2,17,14,30.14,713.91
2,17,15,29.6,580.16
2,17,16,28.8,342.52
2,17,17,27.48,92.18
2,17,18,26.24,0
2,17,19,25.72,0
2,17,20,25.49,0
2,17,21,25.37,0
2,17,22,25.27,0
2,17,23,25.1,0
2,18,0,24.89,0
2,18,1,24.68,0
2,18,2,24.54,0
2,18,3,24.44,0
2,18,4,24.38,0
2,18,5,24.36,0
2,18,6,24.58,31.33
2,18,7,25.8,234.49
2,18,8,27.17,483.78
2,18,9,28.21,714.17
2,18,10,28.96,869.69
2,18,11,29.42,956.94
2,18,12,29.61,939.45
2,18,13,29.52,848.24
2,18,14,29.22,738.95
2,18,15,28.71,552.65
2,18,16,27.98,333.56
2,18,17,26.9,94.18
2,18,18,26.04,0
2,18,19,25.77,0
2,18,20,25.68,0
2,18,21,25.57,0
2,18,22,25.36,0
2,18,23,25.07,0
2,19,0,24.74,0
2,19,1,24.4,0
2,19,2,24.19,0
2,19,3,24.04,0
2,19,4,23.98,0
2,19,5,23.9,0
2,19,6,24.08,33.67
2,19,7,25.32,255.05
2,19,8,26.83,511.28
2,19,9,28.16,729.47
2,19,10,29.13,886.52
2,19,11,29.64,970.09
2,19,12,29.82,981.03
2,19,13,29.65,913.88
2,19,14,29.16,790.83
2,19,15,28.49,594.17
2,19,16,27.61,353.38
2,19,17,26.48,97.45
2,19,18,25.56,0
2,19,19,25.26,0
2,19,20,25.12,0
2,19,21,25.04,0
2,19,22,24.9,0
2,19,23,24.69,0
2,20,0,24.45,0
2,20,1,24.2,0
2,20,2,23.92,0
2,20,3,23.57,0
2,20,4,23.17,0
2,20,5,23.03,0
2,20,6,23.5,31.93
2,20,7,25.17,245.65
2,20,8,26.98,498.52
2,20,9,28.26,712.96
2,20,10,29.17,872.15
2,20,11,29.69,958.02
2,20,12,29.91,967.16
2,20,13,29.83,913.7
2,20,14,29.43,786.77
2,20,15,28.76,591.15
2,20,16,27.84,350.24
2,20,17,26.68,95.41
2,20,18,25.8,0
2,20,19,25.53,0
2,20,20,25.4,0
2,20,21,25.24,0
2,20,22,25.05,0
2,20,23,24.8,0
2,21,0,24.55,0
2,21,1,24.26,0
2,21,2,23.97,0
2,21,3,23.75,0
2,21,4,23.58,0
2,21,5,23.44,0
2,21,6,23.64,32.03
2,21,7,25.02,248.91
2,21,8,26.57,504.82
2,21,9,27.82,721.65
2,21,10,28.83,882.1
2,21,11,29.42,970.43
2,21,12,29.61,971.7
2,21,13,29.4,925.89
2,21,14,28.92,786.8
2,21,15,28.22,591.45
2,21,16,27.36,350.27
2,21,17,26.18,95.13
2,21,18,25.17,0
2,21,19,24.92,0
2,21,20,24.93,0
2,21,21,24.9,0
2,21,22,24.79,0
2,21,23,24.65,0
2,22,0,24.49,0
2,22,1,24.3,0
2,22,2,24.06,0
2,22,3,23.76,0
2,22,4,23.36,0
2,22,5,23.21,0
2,22,6,23.7,31.48
2,22,7,25.3,243.09
2,22,8,26.98,494.04
2,22,9,28.52,708.47
2,22,10,29.69,870.73
2,22,11,30.27,940.07
2,22,12,30.4,939.02
2,22,13,30.16,875.41
2,22,14,29.63,769.73
2,22,15,28.85,578.56
2,22,16,27.88,338.89
2,22,17,26.69,88.26
2,22,18,25.75,0
2,22,19,25.44,0
2,22,20,25.43,0
2,22,21,25.4,0
2,22,22,25.3,0
2,22,23,25.09,0
2,23,0,24.76,0
2,23,1,24.48,0
2,23,2,24.34,0
2,23,3,24.3,0
2,23,4,24.28,0
2,23,5,24.26,0
2,23,6,24.37,32.98
2,23,7,24.98,245.64
2,23,8,25.88,496.3
2,23,9,26.66,714.25
2,23,10,27.2,872.98
2,23,11,27.48,946.16
2,23,12,27.64,955.75
2,23,13,27.78,879.12
2,23,14,27.78,762.22
2,23,15,27.64,574.6
2,23,16,27.26,338.88
2,23,17,26.45,90.59
2,23,18,25.65,0
2,23,19,25.26,0
2,23,20,25.02,0
2,23,21,24.87,0
2,23,22,24.74,0
2,23,23,24.63,0
2,24,0,24.6,0
2,24,1,24.53,0
2,24,2,24.42,0
2,24,3,24.3,0
2,24,4,24.17,0
2,24,5,24.02,0
2,24,6,24.13,33.63
2,24,7,25.33,250.57
2,24,8,26.9,501.5
2,24,9,28.14,717.55
2,24,10,29,878.45
2,24,11,29.54,947.98
2,24,12,29.76,935.06
2,24,13,29.6,838.56
2,24,14,29.22,749.05
2,24,15,28.71,562.09
2,24,16,27.97,328.55
2,24,17,26.87,84.69
2,24,18,25.87,0
2,24,19,25.51,0
2,24,20,25.33,0
2,24,21,25.15,0
2,24,22,24.97,0
2,24,23,24.77,0
2,25,0,24.6,0
2,25,1,24.46,0
2,25,2,24.3,0
2,25,3,24.13,0
2,25,4,24.05,0
2,25,5,24.02,0
2,25,6,24.22,34.73
2,25,7,25.52,253.76
2,25,8,27.13,504.42
2,25,9,28.4,719.09
2,25,10,29.3,878.66
2,25,11,29.81,947.5
2,25,12,29.94,939.34
2,25,13,29.73,864.84
2,25,14,29.25,751.57
2,25,15,28.57,568.27
2,25,16,27.66,332.59
2,25,17,26.59,88.23
2,25,18,25.77,0
2,25,19,25.52,0
2,25,20,25.43,0
2,25,21,25.35,0
2,25,22,25.28,0
2,25,23,25.13,0
2,26,0,24.91,0
2,26,1,24.68,0
2,26,2,24.5,0
2,26,3,24.37,0
2,26,4,24.09,0
2,26,5,23.76,0
2,26,6,24.16,34.08
2,26,7,25.66,250.39
2,26,8,27.26,498.55
2,26,9,28.55,715.39
2,26,10,29.34,865.93
2,26,11,29.62,933.37
2,26,12,29.62,949.65
2,26,13,29.37,898.92
2,26,14,28.93,752.07
2,26,15,28.3,558.66
2,26,16,27.45,323.34
2,26,17,26.37,84.7
2,26,18,25.42,0
2,26,19,25.05,0
2,26,20,24.9,0
2,26,21,24.83,0
2,26,22,24.74,0
2,26,23,24.66,0
2,27,0,24.58,0
2,27,1,24.49,0
2,27,2,24.41,0
2,27,3,24.29,0
2,27,4,24.08,0
2,27,5,23.69,0
2,27,6,24.12,31.52
2,27,7,25.68,236.81
2,27,8,27.44,485.05
2,27,9,28.93,701.15
2,27,10,29.89,860.11
2,27,11,30.2,928.35
2,27,12,30.08,922.77
2,27,13,29.68,850.77
2,27,14,29.09,748.48
2,27,15,28.35,560.34
2,27,16,27.46,329.46
2,27,17,26.36,86.62
2,27,18,25.48,0
2,27,19,25.19,0
2,27,20,25.15,0
2,27,21,25.15,0
2,27,22,25.07,0
2,27,23,24.96,0
2,28,0,24.87,0
2,28,1,24.73,0
2,28,2,24.54,0
2,28,3,24.16,0
2,28,4,24.04,0
2,28,5,24.12,0
2,28,6,24.62,31.73
2,28,7,26.28,238.45
2,28,8,28.24,481.26
2,28,9,29.91,695.05
2,28,10,31.01,854.4
2,28,11,31.33,925.52
2,28,12,31.08,929.76
2,28,13,30.6,861.26
2,28,14,29.87,747.43
2,28,15,28.94,554.77
2,28,16,27.83,322.2
2,28,17,26.58,82.03
2,28,18,25.63,0
2,28,19,25.31,0
2,28,20,25.2,0
2,28,21,25.12,0
2,28,22,24.98,0
2,28,23,24.84,0
3,1,0,24.75,0
3,1,1,24.66,0
3,1,2,24.53,0
3,1,3,24.37,0
3,1,4,24.1,0
3,1,5,23.88,0
3,1,6,24.34,28.89
3,1,7,25.88,207.83
3,1,8,27.65,449.54
3,1,9,29.2,668.47
3,1,10,30.29,824.37
3,1,11,30.87,932.77
3,1,12,30.94,940.92
3,1,13,30.61,805.21
3,1,14,29.97,716.02
3,1,15,29.12,507.7
3,1,16,28.05,288.66
3,1,17,26.85,73.58
3,1,18,25.9,0
3,1,19,25.52,0
3,1,20,25.44,0
3,1,21,25.44,0
3,1,22,25.31,0
3,1,23,25.16,0
3,2,0,25,0
3,2,1,24.85,0
3,2,2,24.71,0
3,2,3,24.57,0
3,2,4,24.41,0
3,2,5,24.26,0
3,2,6,24.48,31.24
3,2,7,25.8,230.46
3,2,8,27.42,474.73
3,2,9,28.88,690.37
3,2,10,29.93,849.91
3,2,11,30.56,953.59
3,2,12,30.82,966.46
3,2,13,30.74,895.4
3,2,14,30.34,762.2
3,2,15,29.66,572.2
3,2,16,28.76,333.77
3,2,17,27.49,87.62
3,2,18,26.38,0
3,2,19,25.94,0
3,2,20,25.76,0
3,2,21,25.6,0
3,2,22,25.49,0
3,2,23,25.33,0
3,3,0,25.15,0
3,3,1,24.97,0
3,3,2,24.82,0
3,3,3,24.67,0
3,3,4,24.44,0
3,3,5,24.41,0
3,3,6,24.96,32.8
3,3,7,26.52,233.12
3,3,8,28.2,474.66
3,3,9,29.57,688.48
3,3,10,30.44,835.85
3,3,11,30.78,911.01
3,3,12,30.73,922.9
3,3,13,30.36,850.96
3,3,14,29.81,718.68
3,3,15,29,525.95
3,3,16,28.1,288.75
3,3,17,27,74.64
3,3,18,26.03,0
3,3,19,25.65,0
3,3,20,25.62,0
3,3,21,25.65,0
3,3,22,25.55,0
3,3,23,25.41,0
3,4,0,25.24,0
3,4,1,24.99,0
3,4,2,24.8,0
3,4,3,24.83,0
3,4,4,24.66,0
3,4,5,24.5,0
3,4,6,24.94,30.25
3,4,7,26.49,211.8
3,4,8,28.33,441.18
3,4,9,30.01,651.84
3,4,10,31.13,811.98
3,4,11,31.55,933.09
3,4,12,31.44,827.62
3,4,13,31,823.46
3,4,14,30.41,709.83
3,4,15,29.6,501.45
3,4,16,28.58,284.81
3,4,17,27.38,71.23
3,4,18,26.36,0
3,4,19,25.99,0
3,4,20,25.96,0
3,4,21,26.05,0
3,4,22,26.05,0
3,4,23,25.88,0
3,5,0,25.58,0
3,5,1,25.33,0
3,5,2,25.13,0
3,5,3,24.88,0
3,5,4,24.72,0
3,5,5,24.57,0
3,5,6,24.97,31.88
3,5,7,26.21,217.24
3,5,8,27.6,414.72
3,5,9,28.71,629.05
3,5,10,29.42,809.05
3,5,11,29.67,857.78
3,5,12,29.58,820.98
3,5,13,29.27,779.32
3,5,14,28.77,549.85
3,5,15,28.27,435.37
3,5,16,27.73,232.16
3,5,17,27.03,65.34
3,5,18,26.39,0
3,5,19,26.05,0
3,5,20,25.88,0
3,5,21,25.81,0
3,5,22,25.79,0
3,5,23,25.72,0
3,6,0,25.59,0
3,6,1,25.45,0
3,6,2,25.37,0
3,6,3,25.33,0
3,6,4,25.3,0
3,6,5,25.24,0
3,6,6,25.4,33.64
3,6,7,26.45,212.96
3,6,8,27.82,400.46
3,6,9,29.11,600.03
3,6,10,29.95,771.23
3,6,11,30.28,837.48
3,6,12,30.21,807.99
3,6,13,29.86,793.01
3,6,14,29.35,702.34
3,6,15,28.73,517.91
3,6,16,27.99,297.37
3,6,17,27.12,74.49
3,6,18,26.38,0
3,6,19,26.01,0
3,6,20,25.82,0
3,6,21,25.65,0
3,6,22,25.5,0
3,6,23,25.35,0
3,7,0,25.22,0
3,7,1,25.1,0
3,7,2,25.01,0
3,7,3,24.94,0
3,7,4,24.9,0
3,7,5,24.9,0
3,7,6,25.23,39.75
3,7,7,26.4,199.78
3,7,8,27.62,416.85
3,7,9,28.62,584.12
3,7,10,29.28,788.95
3,7,11,29.86,774.25
3,7,12,29.87,799.9
3,7,13,29.52,773.64
3,7,14,28.73,701.57
3,7,15,28.01,486.18
3,7,16,27.22,257.67
3,7,17,26.3,68.4
3,7,18,25.72,0
3,7,19,25.58,0
3,7,20,25.48,0
3,7,21,25.4,0
3,7,22,25.26,0
3,7,23,25.1,0
3,8,0,24.93,0
3,8,1,24.77,0
3,8,2,24.63,0
3,8,3,24.54,0
3,8,4,24.51,0
3,8,5,24.54,0
3,8,6,24.76,29.18
3,8,7,25.65,146.02
3,8,8,26.83,309.63
3,8,9,27.93,460.88
3,8,10,28.7,657.09
3,8,11,29.15,711.03
3,8,12,29.35,713.8
3,8,13,29.08,653.59
3,8,14,28.44,620.37
3,8,15,27.66,455.41
3,8,16,26.86,240.23
3,8,17,26.08,64.25
3,8,18,25.62,0
3,8,19,25.51,0
3,8,20,25.47,0
3,8,21,25.46,0
3,8,22,25.47,0
3,8,23,25.48,0
3,9,0,25.42,0
3,9,1,25.28,0
3,9,2,25.16,0
3,9,3,25.1,0
3,9,4,25.11,0
3,9,5,25.15,0
3,9,6,25.37,28.59
3,9,7,26.23,141.59
3,9,8,27.21,275.51
3,9,9,28.01,499.91
3,9,10,28.46,610.36
3,9,11,28.64,709.33
3,9,12,28.67,681.49
3,9,13,28.58,642.41
3,9,14,28.3,558.15
3,9,15,27.88,437.18
3,9,16,27.26,249.63
3,9,17,26.47,61.15
3,9,18,25.79,0
3,9,19,25.53,0
3,9,20,25.44,0
3,9,21,25.4,0
3,9,22,25.37,0
3,9,23,25.3,0
3,10,0,25.23,0
3,10,1,25.18,0
3,10,2,25.18,0
3,10,3,25.13,0
3,10,4,25.08,0
3,10,5,25.05,0
3,10,6,25.26,38.34
3,10,7,26.33,215.94
3,10,8,27.67,453.82
3,10,9,28.84,656.98
3,10,10,29.65,740.82
3,10,11,30.07,763.8
3,10,12,30.09,723.62
3,10,13,29.79,732.99
3,10,14,28.93,675.66
3,10,15,28.18,456.1
3,10,16,27.4,257.36
3,10,17,26.5,70.02
3,10,18,25.83,0
3,10,19,25.69,0
3,10,20,25.66,0
3,10,21,25.58,0
3,10,22,25.5,0
3,10,23,25.44,0
3,11,0,25.38,0
3,11,1,25.31,0
3,11,2,25.24,0
3,11,3,25.05,0
3,11,4,24.83,0
3,11,5,25.04,0
3,11,6,25.55,33.3
3,11,7,26.92,202.54
3,11,8,28.19,429.45
3,11,9,29.29,659.77
3,11,10,30,820.53
3,11,11,30.86,847.7
3,11,12,31.39,789.97
3,11,13,31.38,669.35
3,11,14,30.97,555.29
3,11,15,30.2,387.35
3,11,16,29.08,197.72
3,11,17,27.95,53.29
3,11,18,26.94,0
3,11,19,26.41,0
3,11,20,26.12,0
3,11,21,25.96,0
3,11,22,25.83,0
3,11,23,25.63,0
3,12,0,25.44,0
3,12,1,25.2,0
3,12,2,24.97,0
3,12,3,25,0
3,12,4,25.1,0
3,12,5,25.02,0
3,12,6,25.36,34.18
3,12,7,26.65,198.61
3,12,8,28.27,422.34
3,12,9,29.75,647.66
3,12,10,30.92,735.01
3,12,11,31.71,831.05
3,12,12,31.94,794.32
3,12,13,31.65,670.48
3,12,14,30.95,637.43
3,12,15,30.05,453.38
3,12,16,28.94,244.13
3,12,17,27.67,67.26
3,12,18,26.61,0
3,12,19,26.11,0
3,12,20,25.89,0
3,12,21,25.8,0
3,12,22,25.71,0
3,12,23,25.6,0
3,13,0,25.47,0
3,13,1,25.3,0
3,13,2,25.07,0
3,13,3,24.86,0
3,13,4,24.83,0
3,13,5,25.01,0
3,13,6,25.47,33.66
3,13,7,26.57,171.47
3,13,8,27.92,367.44
3,13,9,29.12,591.73
3,13,10,30.05,767.12
3,13,11,30.75,764.7
3,13,12,31.08,717.62
3,13,13,30.95,607.39
3,13,14,30.31,479.72
3,13,15,29.55,338.31
3,13,16,28.71,188.11
3,13,17,27.7,47.74
3,13,18,26.81,0
3,13,19,26.37,0
3,13,20,26.21,0
3,13,21,26.1,0
3,13,22,26.03,0
3,13,23,25.9,0
3,14,0,25.76,0
3,14,1,25.66,0
3,14,2,25.65,0
3,14,3,25.61,0
3,14,4,25.49,0
3,14,5,25.41,0
3,14,6,25.75,36.55
3,14,7,26.67,199.13
3,14,8,27.83,412.7
3,14,9,29.02,618.09
3,14,10,29.88,692.48
3,14,11,30.23,743.62
3,14,12,30.17,651.72
3,14,13,29.78,640.45
3,14,14,29.13,345.5
3,14,15,28.33,65.34
3,14,16,27.63,35.3
3,14,17,26.94,24.91
3,14,18,26.37,0
3,14,19,26.12,0
3,14,20,25.98,0
3,14,21,25.91,0
3,14,22,25.79,0
3,14,23,25.64,0
3,15,0,25.48,0
3,15,1,25.3,0
3,15,2,25.17,0
3,15,3,24.93,0
3,15,4,24.78,0
3,15,5,24.77,0
3,15,6,25.3,36.1
3,15,7,26.62,196.95
3,15,8,27.83,402.7
3,15,9,28.51,542.28
3,15,10,29.32,678.88
3,15,11,30.09,760.02
3,15,12,30.71,721.66
3,15,13,31.06,705.39
3,15,14,30.99,554.97
3,15,15,30.29,286.41
3,15,16,29.45,135.28
3,15,17,28.46,47.66
3,15,18,27.49,0
3,15,19,26.99,0
3,15,20,26.68,0
3,15,21,26.48,0
3,15,22,26.32,0
3,15,23,26.18,0
3,16,0,26.08,0
3,16,1,26,0
3,16,2,25.95,0
3,16,3,25.92,0
3,16,4,25.9,0
3,16,5,25.87,0
3,16,6,25.9,32.2
3,16,7,26.37,169.27
3,16,8,27.11,329.16
3,16,9,27.98,517.58
3,16,10,28.92,659.05
3,16,11,29.68,805.22
3,16,12,30.05,839.4
3,16,13,30.02,713.84
3,16,14,29.59,602.38
3,16,15,28.81,412.04
3,16,16,27.9,230.59
3,16,17,27.01,58.83
3,16,18,26.43,0
3,16,19,26.23,0
3,16,20,26.15,0
3,16,21,26.07,0
3,16,22,25.97,0
3,16,23,25.85,0
3,17,0,25.76,0
3,17,1,25.72,0
3,17,2,25.73,0
3,17,3,25.73,0
3,17,4,25.76,0
3,17,5,25.82,0
3,17,6,26.04,39.52
3,17,7,26.73,246.02
3,17,8,27.76,481.63
3,17,9,28.98,554.62
3,17,10,29.94,809.75
3,17,11,30.66,836.23
3,17,12,31.19,782.6
3,17,13,31.4,676.36
3,17,14,31.12,646.29
3,17,15,30.24,404.65
3,17,16,29.31,212.16
3,17,17,28.23,56.01
3,17,18,27.26,0
3,17,19,26.74,0
3,17,20,26.53,0
3,17,21,26.45,0
3,17,22,26.36,0
3,17,23,26.17,0
3,18,0,25.95,0
3,18,1,25.76,0
3,18,2,25.62,0
3,18,3,25.44,0
3,18,4,25.24,0
3,18,5,25.3,0
3,18,6,25.84,42.1
3,18,7,27.26,237.34
3,18,8,28.72,491.73
3,18,9,29.9,704.75
3,18,10,30.61,802.93
3,18,11,31.02,763.29
3,18,12,30.94,756.35
3,18,13,30.34,666.11
3,18,14,29.83,488.68
3,18,15,29.35,306.31
3,18,16,28.8,81.63
3,18,17,28.15,37.31
3,18,18,27.4,0
3,18,19,26.95,0
3,18,20,26.74,0
3,18,21,26.67,0
3,18,22,26.66,0
3,18,23,26.58,0
3,19,0,26.4,0
3,19,1,26.01,0
3,19,2,25.94,0
3,19,3,25.96,0
3,19,4,25.83,0
3,19,5,25.66,0
3,19,6,26.23,44.81
3,19,7,27.74,252.77
3,19,8,29.02,509.26
3,19,9,30.11,722.41
3,19,10,31.02,869.39
3,19,11,31.67,915.71
3,19,12,32.02,860.51
3,19,13,31.93,803.29
3,19,14,31.44,707.4
3,19,15,30.61,431
3,19,16,29.78,235.26
3,19,17,28.64,64.44
3,19,18,27.48,0
3,19,19,26.86,0
3,19,20,26.62,0
3,19,21,26.51,0
3,19,22,26.37,0
3,19,23,26.25,0
3,20,0,26.1,0
3,20,1,25.93,0
3,20,2,25.69,0
3,20,3,25.48,0
3,20,4,25.39,0
3,20,5,25.35,0
3,20,6,25.93,58.65
3,20,7,27.35,294.15
3,20,8,29.01,541.83
3,20,9,30.51,743.45
3,20,10,31.62,861.61
3,20,11,32.23,889.5
3,20,12,32.23,812.32
3,20,13,31.78,757.43
3,20,14,31.01,644.75
3,20,15,30.24,461.33
3,20,16,29.37,259.34
3,20,17,28.27,72.49
3,20,18,27.28,0
3,20,19,26.84,0
3,20,20,26.72,0
3,20,21,26.69,0
3,20,22,26.59,0
3,20,23,26.44,0
3,21,0,26.28,0
3,21,1,26.15,0
3,21,2,26.07,0
3,21,3,26.03,0
3,21,4,25.98,0
3,21,5,25.9,0
3,21,6,26.14,51.02
3,21,7,27.45,278.27
3,21,8,28.85,523.51
3,21,9,30.01,745.82
3,21,10,30.84,898.65
3,21,11,31.33,936.52
3,21,12,31.48,917.16
3,21,13,31.26,855.58
3,21,14,30.85,663.82
3,21,15,30.29,509.98
3,21,16,29.47,274.4
3,21,17,28.38,77.44
3,21,18,27.49,0
3,21,19,27.26,0
3,21,20,27.19,0
3,21,21,27.12,0
3,21,22,26.94,0
3,21,23,26.64,0
3,22,0,26.34,0
3,22,1,26.01,0
3,22,2,25.72,0
3,22,3,25.47,0
3,22,4,25.38,0
3,22,5,25.44,0
3,22,6,25.76,60.08
3,22,7,26.76,296.88
3,22,8,28.09,542.14
3,22,9,29.33,751.4
3,22,10,30.16,906.75
3,22,11,30.57,977.2
3,22,12,30.66,968.54
3,22,13,30.48,857.94
3,22,14,30.15,734.28
3,22,15,29.64,529.34
3,22,16,28.88,300.19
3,22,17,27.99,82.27
3,22,18,27.23,0
3,22,19,26.97,0
3,22,20,26.86,0
3,22,21,26.71,0
3,22,22,26.61,0
3,22,23,26.51,0
3,23,0,26.3,0
3,23,1,26.12,0
3,23,2,25.99,0
3,23,3,25.9,0
3,23,4,25.8,0
3,23,5,25.74,0
3,23,6,25.96,48.12
3,23,7,27.08,244.63
3,23,8,28.51,459.8
3,23,9,29.89,688.45
3,23,10,30.91,866.2
3,23,11,31.44,912.57
3,23,12,31.51,931.25
3,23,13,31.21,868.98
3,23,14,30.64,738.12
3,23,15,29.9,539.44
3,23,16,29.04,309.91
3,23,17,28.11,67.61
3,23,18,27.26,0
3,23,19,26.87,0
3,23,20,26.71,0
3,23,21,26.59,0
3,23,22,26.51,0
3,23,23,26.38,0
3,24,0,26.19,0
3,24,1,26.08,0
3,24,2,26.06,0
3,24,3,25.98,0
3,24,4,25.87,0
3,24,5,25.75,0
3,24,6,26.03,56.55
3,24,7,27.3,290.62
3,24,8,28.62,541.52
3,24,9,29.86,756.96
3,24,10,30.8,913.82
3,24,11,31.36,959.9
3,24,12,31.58,921.34
3,24,13,31.39,810.74
3,24,14,30.87,723.26
3,24,15,30.17,537.66
3,24,16,29.29,318.11
3,24,17,28.14,90.03
3,24,18,27.16,0
3,24,19,26.77,0
3,24,20,26.59,0
3,24,21,26.48,0
3,24,22,26.32,0
3,24,23,26.13,0
3,25,0,25.93,0
3,25,1,25.74,0
3,25,2,25.55,0
3,25,3,25.37,0
3,25,4,25.05,0
3,25,5,24.83,0
3,25,6,25.5,66.34
3,25,7,27.13,305.57
3,25,8,28.78,553.8
3,25,9,30.4,759.12
3,25,10,31.36,912.36
3,25,11,31.52,968.75
3,25,12,31.24,899.12
3,25,13,30.65,891.94
3,25,14,29.9,763.03
3,25,15,29.05,568.02
3,25,16,28.28,335.96
3,25,17,27.48,90.16
3,25,18,26.7,0
3,25,19,26.38,0
3,25,20,26.26,0
3,25,21,26.19,0
3,25,22,26.09,0
3,25,23,25.94,0
3,26,0,25.77,0
3,26,1,25.49,0
3,26,2,25.28,0
3,26,3,25.18,0
3,26,4,25.06,0
3,26,5,25,0
3,26,6,25.58,68.97
3,26,7,27.01,312.87
3,26,8,28.59,560.07
3,26,9,29.98,766.25
3,26,10,31.09,917.02
3,26,11,31.84,972.23
3,26,12,32.23,899.86
3,26,13,32.2,907.23
3,26,14,31.8,772.39
3,26,15,31.15,573.55
3,26,16,30.2,325.77
3,26,17,28.8,84.82
3,26,18,27.52,0
3,26,19,26.92,0
3,26,20,26.74,0
3,26,21,26.77,0
3,26,22,26.82,0
3,26,23,26.71,0
3,27,0,26.53,0
3,27,1,26.32,0
3,27,2,26.05,0
3,27,3,25.82,0
3,27,4,25.69,0
3,27,5,25.6,0
3,27,6,25.79,62.07
3,27,7,26.62,294.54
3,27,8,27.9,537.03
3,27,9,29.08,743.3
3,27,10,30.05,886.91
3,27,11,30.48,950.96
3,27,12,30.42,928.52
3,27,13,30.02,812.65
3,27,14,29.36,704.25
3,27,15,28.44,429.09
3,27,16,27.55,222.58
3,27,17,26.92,57.69
3,27,18,26.58,0
3,27,19,26.62,0
3,27,20,26.73,0
3,27,21,26.76,0
3,27,22,26.69,0
3,27,23,26.52,0
3,28,0,26.3,0
3,28,1,26.19,0
3,28,2,26.11,0
3,28,3,26.01,0
3,28,4,25.97,0
3,28,5,25.87,0
3,28,6,25.98,64.59
3,28,7,26.8,295.86
3,28,8,27.72,540.44
3,28,9,28.47,753.7
3,28,10,29.23,890.05
3,28,11,30.01,949.46
3,28,12,30.59,945.61
3,28,13,30.81,830.71
3,28,14,30.66,746.77
3,28,15,30.12,538.81
3,28,16,29.19,298.09
3,28,17,27.94,80.96
3,28,18,26.81,0
3,28,19,26.4,0
3,28,20,26.3,0
3,28,21,26.23,0
3,28,22,26.1,0
3,28,23,25.89,0
3,29,0,25.64,0
3,29,1,25.38,0
3,29,2,25.19,0
3,29,3,25.03,0
3,29,4,24.89,0
3,29,5,24.7,0
3,29,6,25.29,68.61
3,29,7,26.92,292.65
3,29,8,28.67,549.66
3,29,9,29.98,758.05
3,29,10,30.71,897.77
3,29,11,30.99,944.06
3,29,12,30.9,909.06
3,29,13,30.62,778.71
3,29,14,30.16,699.12
3,29,15,29.55,453.11
3,29,16,28.76,244.05
3,29,17,27.77,62.75
3,29,18,26.91,0
3,29,19,26.56,0
3,29,20,26.39,0
3,29,21,26.3,0
3,29,22,26.24,0
3,29,23,26.19,0
3,30,0,26.07,0
3,30,1,25.94,0
3,30,2,25.87,0
3,30,3,25.87,0
3,30,4,25.85,0
3,30,5,25.83,0
3,30,6,26.12,68.15
3,30,7,27.31,304.68
3,30,8,28.59,552.44
3,30,9,29.81,755.91
3,30,10,30.58,895.98
3,30,11,30.81,959.95
3,30,12,30.63,930.34
3,30,13,30.18,891.1
3,30,14,29.65,743.15
3,30,15,28.99,542.61
3,30,16,28.17,301.52
3,30,17,27.3,78.59
3,30,18,26.65,0
3,30,19,26.47,0
3,30,20,26.41,0
3,30,21,26.38,0
3,30,22,26.39,0
3,30,23,26.4,0
3,31,0,26.32,0
3,31,1,26.24,0
3,31,2,26.12,0
3,31,3,25.97,0
3,31,4,25.86,0
3,31,5,25.76,0
3,31,6,26.05,67.69
3,31,7,27.32,294.86
3,31,8,28.9,532.69
3,31,9,30.17,718.62
